"Group","Item","Page","Guidance","Done","Notes"
"Securing Traffic Through Network Segmentation > Network Segmentation for Traffic Types- Backplane and Management","Physically Isolate the Backplane Traffic on an Existing Cluster","195","Use the Prism Element web console to configure the eth2 interface on a separate virtual switch. This setup isolates backplane traffic on a dedicated physical network. If you don't configure a separate virtual switch, backplane traffic uses a different VLAN on the default switch for logical isolation. A virtual switch is referred to differently across hypervisors: ¶ AHV - Virtual switch VMware ESXi - vSwitch Microsoft Hyper-V - Hyper-V Virtual Switch ¶ Network segmentation process creates a separate network for backplane communications on the new virtual switch. The segmentation process places the CVM eth2 interfaces and the host interfaces on the newly created network. Specify a subnet with a network mask and, optionally, a VLAN ID. From the specified subnet or an IP pool assign IP addresses to each new interface in the new network. You require a minimum of two IP addresses per node. If you specify the optional VLAN ID, the segmentation process places the newly created interfaces on VLAN. Nutanix highly recommends using separate VLAN for the backplane network to achieve true segmentation. ¶ Requirements ¶ Ensure that physical isolation of backplane traffic is supported by the AOS version deployed. Ensure that you configure the network (port groups or bridges) on the hosts and associate the network with the ¶ required physical NICs before you enable physical isolation of the backplane traffic. For AHV, see Configuring the Network on Existing Nodes on page 192. For ESXi and Hyper-V, see VMware or Microsoft documentation. ¶ Limitations ¶ On an ESXi cluster with a DVS switch and network segmentation enabled, the ESXi hypervisor might trigger HA events such as host isolation response and reboot all VMs when the management network goes down. To avoid this situation, configure multiple isolation response addresses using the das.isolationaddress Advance Option in VMware vCenter. ¶ Segmenting backplane traffic can involve up to two rolling reboots of the CVMs. The first rolling reboot moves the backplane interface (eth2) of the CVM to the selected port group, virtual switch or Hyper-V switch. This is done only for CVMs whose backplane interface is not already connected to the selected port group, virtual switch or Hyper-V switch. The second rolling reboot migrates the cluster services to the newly configured backplane interface. ¶ Physically Isolating the Backplane Traffic on an AHV Cluster Create a dedicated virtual switch and configure the backplane network to physically segment backplane traffic on an AHV-based Nutanix cluster. ¶ Before you begin Ensure that the network is configured on the AHV hosts. For more information, see Configuring the Network on Existing Nodes on page 192. ¶ Note: Before you perform the following procedure, ensure that the uplinks you added to the virtual switch are in the UP state. ¶ About this task To physically segment the backplane traffic on an AHV cluster, follow these steps: ¶ Procedure ¶ 1. Shut down all the guest VMs in the cluster from within the guest OS or use the Prism Element web console. ¶ 2. Place all AHV hypervisor nodes of a cluster into the maintenance mode. Do not place the CVM nodes into the maintenance mode: ¶ a. Use SSH to log in to a Controller VM in the cluster. ¶ b. Determine the IP address of all the AHV hypervisor nodes: ¶ nutanix@cvm$ acli host.list ¶ Note all the hypervisor IP addresses for the cluster. ¶ c. Put each node in the maintenance mode: ¶ nutanix@cvm$ acli host.enter_maintenance_mode hypervisor-IP-address [wait=""{ true | false }"" ] [non_migratable_vm_action=""{ acpi_shutdown | block }"" ] ¶ Replace hypervisor-IP-address with the AHV hypervisor IP address. ¶ The following are optional parameters: ¶ wait ¶ non_migratable_vm_action ¶ For example: ¶ nutanix@cvm$ acli host.enter_maintenance_mode 197.116.6.79 EnterMaintenanceMode: pending EnterMaintenanceMode: complete ¶ Note: Never put Controller VM and AHV hosts into maintenance mode on single-node clusters. Nutanix recommends shutting down user VMs before proceeding with disruptive changes. If a cluster has HA reservation enabled, the nodes in the cluster cannot enter maintenance mode. To check if the cluster has HA reservation enabled, go to Settings > Manage VM High Availability. ¶ Do not continue if the node fails to enter the maintenance mode. ¶ d. Verify that the node is in the maintenance mode: ¶ nutanix@cvm$ acli host.get hypervisor-IP-address ¶ In the output that is displayed, ensure that node_state is EnteredMaintenanceMode and schedulable is False. ¶ Example output. ¶ nutanix@cvm$ acli host.get 197.116.6.79 197.116.6.79 { ¶ cpu_usage_ppm: 192941 cvm_memory_size_bytes: 21474836480 cvm_num_vcpus: 8 cvm_num_vnics: 3 cvm_uuid: ""e96dbef0-d425-4926-9fe8-4d10b1a69902"" host_overhead_bytes: 4957721854 logical_timestamp: 23 max_mem_ha_reserved_bytes: 0 mem_assigned_bytes: 0 mem_usage_bytes: 26654856446 memory_size_bytes: 269842644992 node_state: ""EnteredMaintenanceMode"" num_cpus: 32 pool_size_bytes: 0 schedulable: False uuid: ""cc50ea78-49ce-4767-90b3-a0a2ef891446"" ¶ } ¶ 3. Enable backplane network segmentation: a. Log on to the Prism web console, click the gear icon in the top-right corner, then click Network Configuration in the Settings page. b. On the Internal Interfaces tab, in the Backplane LAN row, click Configure. c. In the Backplane LAN dialog box, follow these steps: ¶ 1. In Subnet IP, specify a non-routable subnet that is different from the subnet used by the AHV host and CVMs. The AOS CVM default route uses the CVM eth0 interface, and no route on the backplane interface. Therefore, Nutanix recommends that you use only a non-routable subnet for the backplane network. To avoid split routing, do not use a routable subnet for the backplane network. Make sure that the backplane subnet has a sufficient number of IP addresses. Two IP addresses are required per node. Reconfiguring the backplane to increase the size of the subnet involves cluster downtime, so ensure that the subnet can accommodate new nodes in the future. You can also use an IP pool to configure network segmentation. For more information, see Configuring Backplane IP Pool on page 203 ¶ 2. In Netmask, specify the network mask. ¶ 3. (Optional) To assign the interfaces on the network to a VLAN, specify the VLAN ID in the VLAN ID field. Nutanix strongly recommends configuring a separate VLAN. If you do not specify a VLAN ID, AOS applies the untagged VLAN on the virtual switch. ¶ 4. In the Virtual Switch list, select the virtual switch that you created for the backplane traffic. d. Click Verify and Save. If the network settings that you specified pass validation, the segmentation process creates a backplane network and the CVMs perform a reboot in a rolling fashion (one at a time), after which the services use the new backplane network. You can track the progress of this operation on the Prism Element web console Tasks page. ¶ 4. Log in to a CVM in the cluster with SSH and stop Acropolis cluster-wide: nutanix@cvm$ allssh genesis stop acropolis ¶ 5. Restart Acropolis cluster-wide: nutanix@cvm$ cluster start ¶ 6. Remove all nodes from maintenance mode: a. From any CVM in the cluster, exit the AHV host from the maintenance mode: nutanix@cvm$ acli host.exit_maintenance_mode hypervisor-IP-address Replace hypervisor-IP-address with the IP address of the node. For example. nutanix@CVM$ acli host.exit_maintenance_mode 197.116.6.79 ExitMaintenanceMode: pending ¶ ExitMaintenanceMode: complete ¶ This command migrates all the VMs that were previously running on the host back to the host. ¶ b. Verify that the node has exited the maintenance mode: ¶ nutanix@cvm$ acli host.get hypervisor-IP-address ¶ Replace hypervisor-IP-address with the IP address of the node. In the output that is displayed, ensure that node_state is kAcropolisNormal or AcropolisNormal and schedulable is True. Example output. ¶ nutanix@cvm$ acli host.get 197.116.6.79 197.116.6.79 { ¶ cpu_usage_ppm: 192941 cvm_memory_size_bytes: 21474836480 cvm_num_vcpus: 8 cvm_num_vnics: 3 cvm_uuid: ""e96dbef0-d425-4926-9fe8-4d10b1a69902"" host_overhead_bytes: 4957721854 logical_timestamp: 23 max_mem_ha_reserved_bytes: 0 mem_assigned_bytes: 0 mem_usage_bytes: 26654856446 memory_size_bytes: 269842644992 node_state: ""AcropolisNormal"" num_cpus: 32 pool_size_bytes: 0 schedulable: True uuid: ""cc50ea78-49ce-4767-90b3-a0a2ef891446"" } ¶ 7. Power on the guest VMs from the Prism Element web console. ¶ Physically Isolating the Backplane Traffic on an ESXi Cluster Configure a dedicated vSwitch, subnet, and VLAN to physically isolate backplane traffic and apply settings using the Prism Element web console for secure segmentation. ¶ Before you begin On the ESXi hosts, follow these steps: ¶ 1. Create a vSwitch for the backplane traffic. ¶ 2. From vSwitch0, remove the uplinks (physical NICs) that you plan to add to the vSwitch that you created for the ¶ backplane traffic. ¶ 3. On the backplane vSwitch, create one port group for the CVM and another for the host. ¶ Ensure that at least one uplink is present in the Active Adaptors list for each port group if you have overridden the failover order. You don't need to manually create the VMkernel adapter for backplane segmentation since the workflow takes care of creating it on the port group selected as the host port group. For more information, see VMware ESXi documentation. Before you perform the following procedure, ensure that the uplinks you added to the vSwitch are in the UP state. ¶ About this task To physically segment the backplane traffic, follow these steps: ¶ Procedure ¶ 1. Log in to Prism Element as an administrator. ¶ 2. Click the gear icon in the top-right corner, then in the Settings page, click Network Configuration. ¶ 3. On the Internal Interfaces tab, in the Backplane LAN row, click Configure. ¶ 4. In the Backplane LAN dialog box, follow these steps: ¶ a. In Subnet IP, specify a non-routable subnet that is different from the subnet used by the ESXi host and CVMs. The AOS CVM default route uses the CVM eth0 interface, and no route on the backplane interface. Nutanix recommends that you use only a non-routable subnet for the backplane network. To avoid split routing, do not use a routable subnet for the backplane network. Make sure that the subnet has a sufficient number of IP addresses. Each node requires two IP addresses. Reconfiguring the backplane to increase the size of the subnet involves cluster downtime, so you might also want to make sure that the subnet can accommodate new nodes in the future. ¶ b. In Netmask, specify the network mask. ¶ c. (Optional) To assign the interfaces on the network to a VLAN, specify the VLAN ID in the VLAN ID field. Nutanix strongly recommends configuring a separate VLAN. If you do not specify a VLAN ID, AOS applies the default VLAN on the virtual switch. ¶ d. In the Host Port Group list, select the port group that you created for the host. A port group can be a standard vSwitch port group, a distributed vSwitch port group, or a NSX segment reflected as a distributed port group in the vCenter. ¶ e. In the CVM Port Group list, select the port group that you created for the CVM. A port group can be a standard vSwitch port group, a distributed vSwitch port group, or a NSX segment reflected as distributed port group in the vCenter. ¶ Note: Nutanix clusters support both vSphere Standard Switches and vSphere Distributed Switches with either normal portgroups or NSX segment backed portgroups. However, you must configure only one type of virtual switches in one cluster. Configure all the backplane and management traffic in one cluster on either vSphere standard switches or vSphere distributed switches. Do not mix standard and distributed vSwitches on a single cluster. Make sure that you configure the same port group type (normal or NSX segment) on all nodes of the cluster. ¶ 5. Click Verify and Save. If the network settings that you specified pass validation, the segmentation process creates the backplane network and the CVMs perform a reboot in a rolling fashion, after which the services use the new backplane network. You can track the progress of this operation in the Prism Element web console Tasks page. ¶ Physically Isolating the Backplane Traffic on a Hyper-V Cluster Configure a dedicated Hyper-V switch, subnet, and VLAN to physically isolate backplane traffic and apply settings using the Prism Element web console for secure segmentation. ¶ Before you begin On the Hyper-V hosts, perform these steps: ¶ 1. Create a Hyper-V Virtual Switch for the backplane traffic. ¶ 2. From the default External Switch, remove the uplinks (physical NICs) that you want to add to the backplane Virtual Switch you created for the backplane traffic. ¶ 3. On the backplane Virtual Switch, create a subnet and, optionally, assign a VLAN. For more information, see Hyper-V documentation on the Microsoft portal. Before you perform the following procedure, ensure that the uplinks that you added to the backplane Virtual Switch are in the UP state. ¶ About this task To physically segment the backplane traffic, follow these steps: ¶ Procedure ¶ 1. Log in to Prism Element as an administrator. ¶ 2. Click the gear icon in the top-right corner, and then in the Settings page, click Network Configuration. ¶ 3. On the Internal Interfaces tab, in the Backplane LAN row, click Configure. ¶ 4. In the Backplane LAN dialog box, follow these steps: ¶ a. In Subnet IP, specify a non-routable subnet that is different from the subnet used by the Hyper-V host and CVMs. The AOS CVM default route uses the CVM eth0 interface, and no route on the backplane interface. Nutanix recommends that you use only a non-routable subnet for the backplane network. To avoid split routing, do not use a routable subnet for the backplane network. Make sure that the subnet has a sufficient number of IP addresses. Each node requires two IP addresses. Reconfiguring the backplane to increase the size of the subnet involves cluster downtime, so you might also want to make sure that the subnet can accommodate new nodes in the future. ¶ b. In Netmask, specify the network mask. c. (Optionally) To assign the interfaces on the network to a VLAN, specify the VLAN ID in the VLAN ID field. ¶ Nutanix strongly recommends that you configure a separate VLAN. If you do not specify a VLAN ID, AOS applies the default VLAN on the virtual switch. d. In the Bridge list, select the Hyper-V switch that you created for the backplane traffic. ¶ 5. Click Verify and Save. If the network settings you specified pass validation, the segmentation process creates the backplane network and the CVMs perform a reboot in a rolling fashion, after which the services use the new backplane network. You can track the progress of this operation in the Prism Element web console Tasks page. Segmenting backplane traffic can involve up to two rolling reboots of the CVMs. The first rolling reboot moves the backplane interface (eth2) of the CVM to the selected port group or virtual switch. This is done only for CVMs whose backplane interface is not already connected to the selected port group or bridge virtual switch. The second rolling reboot migrates the cluster services to the newly configured backplane interface.","",""
"Securing Traffic Through Network Segmentation > Network Segmentation for Traffic Types- Backplane and Management","Enabling Physical Backplane Segmentation on Hyper-V Using CLI","201","Physical backplane segmentation support is now available on a cluster containing Hyper-V nodes. ¶ About this task To enable physical backplane segmentation on a cluster containing Hyper-V node using CLI, follow these steps: ¶ Procedure ¶ 1. Log on to any CVM in the cluster using SSH. ¶ 2. Enable backplane segmentation on a Hyper-V node: ¶ nutanix@CVM:~$ network_segmentation --backplane_network -ip_pool=IP-Pool-name -backplane_vlan=VLAN-ID -host_physical_network=hyperv_host_physical_network ¶ Replace IP-Pool-name with a user defined IP pool name Replace VLAN-ID with a backplane VLAN ID Replace hyperv_host_physical_network with the Hyper-V switch name For example: nutanix@CVM:~$ network_segmentation --backplane_network -ip_pool=BackplanePool -backplane_vlan=1234 -host_physical_network=BackplaneSwitch","",""
"Securing Traffic Through Network Segmentation > Network Segmentation for Traffic Types- Backplane and Management","Enabling Backplane Network Segmentation on a Mixed Hypervisor Cluster","202","Enable backplane network segmentation on a mixed hypervisor cluster. ¶ About this task You can enable Backplane Network Segmentation on a mixed hypervisor cluster: ¶ ESXi and AHV storage-only nodes Hyper-V and AHV storage-only nodes To enable backplane network segmentation on a mixed hypervisor cluster, follow these steps: ¶ Procedure ¶ 1. Log in to any CVM in the cluster using SSH. ¶ 2. Enable network segmentation for backplane traffic: ¶ On a cluster containing ESXi and AHV storage only nodes: nutanix@cvm$ network_segmentation --backplane_network -ip_pool=IP-pool-name -backplane_vlan=VLAN-ID [--esx_host_physical_network=ESXi-host-portgroup-name ] [--esx_cvm_physical_network=ESXi-cvm-portgroup-name ] [--ahv_host_physical_network=AHV-network-name ] ¶ On a cluster containing Hyper-V and AHV storage-only nodes: nutanix@cvm$ network_segmentation --backplane_network -ip_pool=IP-pool-name -backplane_vlan=VLAN-ID [--hyperv_host_physical_network=HyperV-host-network-name ] [--ahv_host_physical_network=AHV-network-name ] ¶ Replace IP-Pool-name with a user defined IP pool name ¶ Replace VLAN-ID with a backplane VLAN ID ¶ Replace ESXi-host-portgroup-name with the ESXi host network name ¶ Replace ESXi-cvm-portgroup-name with the ESXi CVM network name ¶ Replace AHV-network-name with the AHV storage-only node bridge name ¶ Replace HyperV-host-network-name with the Hyper-V switch name ¶ For example, enable network segmentation on a mixed hypervisor containing ESXi and AHV storage-only nodes: ¶ nutanix@cvm$ network_segmentation --backplane_network -ip_pool=BackplanePool -backplane_vlan=1234 -esx_host_physical_network=host-pg -esx_cvm_physical_network=cvm-pg -ahv_host_physical_network=br1","",""
"Securing Traffic Through Network Segmentation > Network Segmentation for Traffic Types- Backplane and Management","Backplane IP Pool","203","Create and manage small IP pools for backplane traffic using the CLI to optimize IP usage and avoid full subnet allocation. ¶ Network segmentation for backplane traffic previously required an entire subnet even if a cluster has a small number of nodes. Allocating an entire subnet resulted in inefficient use of IP addresses. The backplane IP address pool feature creates a small IP address pool instead of an entire subnet. ¶ You can create an IP address pool using the network_segmentation ip_pool command. The named IP address pool includes one or more IP address ranges. For example, you can define one range from 172.16.1.100 to 172.16.1.105 and another range from 172.16.1.120 to 172.16.1.125, all within the same named IP address pool and subnet. ¶ Currently, the Prism Element web console does not offer an option to create an IP address pool specifically for backplane segmentation. However, it does allow for the creation of small IP address pools for service-specific traffic, such as Nutanix Volumes and Nutanix Disaster Recovery (DR). You can use the new network_segmentation ip_pool CLI to create IP address pools for backplane, Nutanix Volumes, and Nutanix DR. You can also manage (edit, delete, and update) IP address pools that are created for backplane, Nutanix Volumes and Nutanix DR using the new CLI.","",""
"Securing Traffic Through Network Segmentation > Network Segmentation for Traffic Types- Backplane and Management","Configuring Backplane IP Pool","203","Create an IP pool for backplane interfaces using the CLI. ¶ About this task To configure IP address pool for backplane, perform the following steps: ¶ Procedure ¶ 1. Log in to any CVM in the cluster using SSH. ¶ 2. Create a new IP address pool and define the IP address ranges: ¶ nutanix@cvm$ network_segmentation --ip_pool_name=IP-Pool-name -- `Last-IP- ip_pool_netmask=netmask -ip_ranges=""[(`First-IP-Address', `Last-IP-Address'), (`First-IP-Address', Address')]"" ip_pool create ¶ Replace IP-Pool-name with a user-defined IP address pool name Replace Netmask with a network mask in dot-decimal mask notation ¶ Replace First-IP-Address with the first IP address in the range Replace Last-IP-Address with the last IP address in the same range For example: nutanix@cvm$ network_segmentation --ip_pool_name=BackplanePool -- ip_pool_netmask=255.255.255.0 -ip_ranges=""[('172.16.1.100', '172.16.1.105'), ('172.16.1.120', '172.16.1.125')]"" ip_pool create","",""
"Securing Traffic Through Network Segmentation > Network Segmentation for Traffic Types- Backplane and Management","Reconfiguring the Backplane Network","204","Backplane network reconfiguration is a CLI-driven procedure that you perform on any one of the CVMs in the cluster. The change is propagated to the remaining CVMs. ¶ About this task ¶ Caution: At the end of this procedure, the cluster stops and restarts, even if only the VLAN is changed, and involves cluster downtime. ¶ To reconfigure the cluster, follow these steps: ¶ Procedure ¶ 1. Log on to any CVM in the cluster using SSH. ¶ 2. Reconfigure the backplane network: ¶ nutanix@cvm$ backplane_ip_reconfig [--backplane_vlan=vlan-id] \ [--backplane_ip_pool=ip_pool_name] Replace vlan-id with the new VLAN ID, and ip_pool_name with the newly created backplane IP address pool. For information on creating a backplane IP address pool, see Configuring Backplane IP Pool on page 203. For example, reconfigure the backplane network to use VLAN ID 10 and newly created backplane IP pool NewBackplanePool: nutanix@cvm$ backplane_ip_reconfig --backplane_vlan=10 \ -backplane_ip_pool=NewBackplanePool Example output: This operation will do a 'cluster stop', resulting in disruption of cluster services. Do you still want to continue? (Type ""yes"" (without quotes) to continue) Type yes to confirm that you want to reconfigure the backplane network. ¶ During the reconfiguration process, you might receive an error message similar to the following: Failed to reach a node. You can ignore this error message and therefore do not stop the script manually. ¶ Note: The backplane_ip_reconfig command is not supported on ESXi clusters with vSphere Distributed Switches. To reconfigure the backplane network on a vSphere Distributed Switch setup, disable the backplane network (see Disabling Network Segmentation on an ESXi and Hyper-V Clusters on page 206) and enable again with a different subnet or VLAN. ¶ 3. Type yes to confirm. The reconfiguration procedure takes a few minutes and includes a cluster restart. If you type anything other than yes, the system aborts the network reconfiguration. ¶ 4. After the process completes, verify that the backplane was reconfigured: a. Verify that the IP addresses of the eth2 interfaces on the CVM are set correctly: nutanix@cvm$ svmips -b Output similar to the following is displayed: 172.30.25.1 172.30.25.3 172.30.25.5 ¶ b. Verify that the IP addresses of the backplane interfaces of the hosts are set correctly. nutanix@cvm$ hostips -b Output similar to the following is displayed: 172.30.25.2 172.30.25.4 172.30.25.6 ¶ The svmips and hostips commands, when used with the option b, display the IP addresses assigned to the interfaces on the backplane.","",""
"Securing Traffic Through Network Segmentation > Network Segmentation for Traffic Types- Backplane and Management","Update Backplane Port Groups","205","Update backplane port groups on ESXi clusters without disabling segmentation. You can update the backplane port groups that are assigned to CVM and host nodes. Previously, to change a port group that is assigned to a CVM and host, you had to disable network segmentation and re-enable it with the new port groups. This feature is only supported on a cluster running an ESXi hypervisor. Updating backplane port groups: ¶ Helps you to move from one vSphere Standard Switch (VSS) port group to another VSS port group within the same virtual standard switch ¶ Helps you to move from one VSS port group to another VSS port group in a different Virtual Standard Switch Helps you to move from a VSS port group to a vSphere Distributed Switch (VDS) port group Helps you to move from a VDS port group to a VSS ¶ Note: To rename existing VSS or VDS port groups, you need to manually perform the rename operation either through the vCenter application or by using the ESXi CLI. Run the update operation with the new port group name. This process ensures that the configuration in the Nutanix internal database is kept up to date. ¶ Limitations of Updating Backplane Port Group Consider the following limitations before updating backplane port groups: ¶ Clusters running on an AHV or Hyper-V hypervisors do not support updating backplane port groups feature. This feature does not support updating any other configuration such as VLAN ID and IP addresses. ¶ Note: This feature does not perform any network validation on the new port groups. You must ensure the port group settings are accurate before proceeding with the port group update operation. If the settings are not accurate, the CVM on that node might not be able to communicate with its peers and this results in a stuck rolling reboot. ¶ Updating Backplane Port Group Update the backplane port groups that are assigned to CVM and host nodes. ¶ About this task To update the backplane port groups that are assigned to CVM and host nodes, follow these steps: ¶ Procedure ¶ 1. Log in to any CVM in the cluster using SSH. ¶ 2. Update the CVM and host port groups: ¶ nutanix@cvm$ network_segmentation --backplane_network -host_physical_network=new-host-portgroup-name -cvm_physical_network=new-cvm-portgroup-name -update ¶ Replace new-host-portgroup-name with the new host port group name Replace new-cvm-portgroup-name with the new CVM port group name For example: nutanix@cvm$ network_segmentation --backplane_network -host_physical_network=new-bp-host-pgroup -cvm_physical_network=new-bp-cvm-pgroup -update For more information, see Creating Port Groups on the Distributed Switch in vSphere Administration Guide for Acropolis.","",""
"Securing Traffic Through Network Segmentation > Network Segmentation for Traffic Types- Backplane and Management","Disabling Network Segmentation on an ESXi and Hyper-V Clusters","206","Backplane network reconfiguration is a CLI-driven procedure that you perform on any one of the CVMs in the cluster. The change is propagated to the remaining CVMs. ¶ About this task To disable network segmentation on an ESXi and Hyper-V clusters, follow these steps: ¶ Procedure ¶ 1. Log on to any CVM in the cluster using SSH. ¶ 2. Disable network segmentation on an ESXi and Hyper-V cluster: ¶ nutanix@cvm$ network_segmentation --backplane_network --disable Output similar to the following appears: Operation type : Disable Network type : kBackplane Params : {} Please enter [Y/y] to confirm or any other key to cancel the operation Type Y or y to confirm. If you type Y or y, network segmentation is disabled and the controller VMs (CVMs) restart in a rolling manner, one CVM at a time. If you type anything other than Y or y, network segmentation is not disabled. This method does not involve cluster downtime. ¶ 3. Verify that you successfully disabled network segmentation. You can verify in one of two ways: ¶ » Verify that the backplane is disabled. ¶ nutanix@cvm$ network_segment_status ¶ Output similar to the following is displayed: ¶ 2017-11-23 06:18:23 INFO zookeeper_session.py:110 network_segment_status is attempting to connect to Zookeeper ¶ Network segmentation is disabled ¶ » Verify that the commands to show the backplane IP addresses of the CVMs and hosts list the same management IP addresses. Run the svmips and hostips command with and without the -b option, then compare the IP addresses shown in the output. For example: ¶ nutanix@cvm$ svmips 192.127.3.4 192.127.3.2 192.127.3.3 192.127.3.4 nutanix@cvm$ svmips -b 192.127.3.7 192.127.3.2 192.127.3.3 192.127.3.7 nutanix@cvm$ hostips 192.127.3.5 192.127.3.6 nutanix@cvm$ hostips -b 192.127.3.5 192.127.3.6 ¶ In the example, the outputs of the svmips and hostips commands with and without the -b option are the same, indicating that the backplane network segmentation is disabled.","",""
"Securing Traffic Through Network Segmentation > Network Segmentation for Traffic Types- Backplane and Management","Disabling Network Segmentation on an AHV Cluster","207","Disable network segmentation on an AHV cluster. ¶ About this task ¶ You perform backplane network reconfiguration procedure on any one of the CVMs in the cluster. The change propagates to the remaining CVMs. ¶ To disable network segmentation on an AHV cluster, follow these steps: ¶ Procedure ¶ 1. Shut down all the guest VMs in the cluster from within the guest OS or use the Prism Element web console. ¶ 2. Place all nodes of a cluster into the maintenance mode: a. Use SSH to log on to a Controller VM in the cluster. b. Determine the IP address of the node you want to put into the maintenance mode: nutanix@cvm$ acli host.list Note the value of hypervisor IP address for the node you plan to put in the maintenance mode. c. Put the node into the maintenance mode: nutanix@cvm$ acli host.enter_maintenance_mode hypervisor-IP-address [wait=""{ true | false }"" ] [non_migratable_vm_action=""{ acpi_shutdown | block }"" ] Replace host-IP-address with either the IP address or host name of the AHV host you plan to shut down. The following are optional parameters for running the acli host.enter_maintenance_mode command: ¶ wait non_migratable_vm_action Do not continue if the host fails to enter the maintenance mode. d. Verify that the host is in the maintenance mode: nutanix@cvm$ acli host.get host-ip In the output that is displayed, ensure that node_state is EnteredMaintenanceMode and schedulable is False. ¶ 3. Disable backplane network segmentation from the Prism web console. a. Log in to the Prism Element web console, click the gear icon in the top-right corner, and then click Settings>Network Configuration. b. In the Internal Interfaces tab, in the Backplane LAN row, click Disable. c. Click Yes to disable backplane LAN. Disabling backplane LAN involves a rolling reboot of CVMs to migrate the cluster services back to the external interface. ¶ 4. Log in to a CVM in the cluster with SSH and stop Acropolis cluster-wide: nutanix@cvm$ allssh genesis stop acropolis ¶ 5. Restart Acropolis cluster-wide: nutanix@cvm$ cluster start ¶ 6. Remove all nodes from maintenance mode: a. From any CVM in the cluster, run the following command to exit the AHV host from the maintenance mode: nutanix@cvm$ acli host.exit_maintenance_mode host-ip Replace host-ip with the new IP address of the host. This command migrates all the VMs that were previously running on the host back to the host. b. Verify that the host has exited the maintenance mode: nutanix@cvm$ acli host.get host-ip In the output that is displayed, ensure that node_state equals to kAcropolisNormal or AcropolisNormal and schedulable equals True. ¶ 7. Power on the guest VMs from the Prism Element web console.","",""
"Securing Traffic Through Network Segmentation > Service-Specific Traffic Isolation","Isolating Service-Specific Traffic","209","Isolate a service to a separate virtual network. Before you begin Ensure that each host is configured as described in Configuring the Network on Existing Nodes on ¶ page 192. Ensure that you meet all Prerequisites on page 190. About this task To isolate a service to a separate virtual network, follow these steps: Procedure ¶ 1. Log in to Prism Element as an administrator. ¶ 2. At the top-right corner of the page, click the gear icon. ¶ 3. In the left pane, click Network Configuration. ¶ 4. In the details pane, on the Internal Interfaces tab, click Create New Interface. ¶ The Create New Interface dialog box is displayed. ¶ 5. On the Interface Details tab, follow these steps: ¶ a. Specify a descriptive name for the network segment. b. (Optional for AHV) Specify a VLAN ID. ¶ Make sure that the VLAN ID is configured on the physical switch. c. In Bridge (on AHV) or CVM Port Group (on ESXi), select the bridge or port group that you created for the ¶ network segment. d. Specify an IP address pool for the network segment, click Create New IP Pool, then in the IP Pool dialog ¶ box, follow these steps: ¶ In the Name field, specify a name for the pool. In the Netmask field, specify the network mask for the pool. Click Add an IP Range and specify the start and end IP addresses in the IP Range dialog box that is ¶ displayed. Use Add an IP Range to add as many IP address ranges as you need. ¶ Note: Add at least n+1 IP addresses in an IP address range considering n is the number of nodes in the cluster. ¶ Click Save. (Optional) Use Add an IP Pool to add more IP address pools. You can use only one IP address pool at ¶ any given time. Select the IP address pool that you plan to use and then click Next. ¶ You can also use an existing unused IP address pool. ¶ 6. On the Feature Selection tab, follow these steps: ¶ a. Select the service whose traffic you plan to isolate. b. Configure the settings for the selected service. ¶ The setting shown on this page vary based on the service that you select. For information about service- specific settings, see Service-Specific Settings and Configurations on page 212. c. Click Save. You cannot enable network segmentation for multiple services at the same time. Complete the configuration for one service before you enable network segmentation for another service. ¶ 7. In the Create Interface dialog box, click Save. The CVMs are rebooted multiple times, one after another. This procedure might trigger more tasks on the cluster. ¶ What to do next See Service-Specific Settings and Configurations on page 212 for any additional tasks that are required after you segment the network for a service.","",""
"Securing Traffic Through Network Segmentation > Service-Specific Traffic Isolation","Modifying Network Segmentation Configured for a Service","210","To modify network segmentation configured for a service, you must first disable network segmentation for that service, then create the network interface again for that service with the new IP address pool and VLAN. ¶ About this task For example, if the interface of the service you want to modify is ntnx0, after the reconfiguration, the same interface (ntnx0) is assigned to that service if that interface is not assigned to any other service. If ntnx0 is assigned to another service, a new interface (for example ntnx1) is created and assigned to that service. To reconfigure network segmentation configured for a service, follow these steps: ¶ Procedure ¶ 1. Disable the network segmentation configured for a service. For instructions, see Disabling Network Segmentation Configured for a Service on page 211. ¶ 2. Create the network interface again for that service with the new IP address pool and VLAN. For instructions, see Isolating Service-Specific Traffic on page 209.","",""
"Securing Traffic Through Network Segmentation > Service-Specific Traffic Isolation","Disabling Network Segmentation Configured for a Service","211","To disable network segmentation configured for a service, you must disable the dedicated vNIC. Disabling network segmentation frees the name of the vNIC. The free name is reused in a subsequent network segmentation configuration. ¶ About this task To disable the network segmentation configured for a service, perform the following steps: ¶ Procedure ¶ 1. Log in to Prism Element as an administrator. ¶ 2. At the top-right corner of the page, click the gear icon. ¶ 3. In the left pane, click Network Configuration. ¶ 4. On the Internal Interfaces tab, for the interface that you plan to disable, click Disable. ¶ The defined IP address pool is available even after disabling the network segmentation. ¶ What to do next At the end of this procedure, the cluster performs a rolling restart. Disabling network segmentation disrupts the functioning of the associated service. To restore normal operations, you may need to perform additional tasks immediately after the rolling restart. For information about the follow-up tasks, see Service-Specific Settings and Configurations on page 212.","",""
